dim	coefficient
302	-1.2243930335528241
303	-1.1796595067783435
304	-1.1739749600493186
305	-1.1787382571629408
306	-1.1930951837418335
307	-1.2734839157263433
308	-2.7553843904829676
309	-1.2018342108550688
310	-1.1437002422531817
311	-1.2109363457210642
312	-1.1651316670797347
313	-1.2655018028564697
314	-1.2443911312234357
315	-1.2805145489812157
316	-1.1632745587713151
317	-1.2505433956627388
318	-1.1347933958041543
319	-1.241655477989172
320	-1.2168974128038952
321	-1.2386887857726223
322	-1.2045073895135658
323	-1.2169080357618582
324	-1.1267270879453721
325	-1.2522675720990653
326	-1.2548772594075392
327	-1.2325995925351294
328	-1.1129642390797403
329	-1.1832476372333862
330	-1.2605910160958875
331	-1.2674075422499893
332	-1.3278233954840788
333	-1.136213139557
334	-1.1722570511540713
335	-1.2647398479528804
336	-1.2064246007652484
337	-1.2893916274425157
338	-1.1785601382620345
339	-1.2424867496817937
340	-1.281477199289668
341	-1.1787878515797658
342	-1.1856593016264085
343	-1.2414728600776201
344	-1.1089288942644817
345	-1.276261153517078
346	-1.1724793359931827
347	-1.138033893385683
348	-1.1581849999046696
349	-1.2022284825850156
350	-1.180601949758858
351	-1.2862890440811283
352	-1.1836479105000621
353	-1.3425035872043827
354	-1.2089216218404129
355	-1.1649308104295064
356	-1.2165363268505398
357	-1.2131297900282307
358	-1.1840873753956178
359	-1.362001276459148
360	-1.2886144558673063
361	-1.2000700599057887
362	-1.1829844163759824
363	-1.3052905753710458
364	-1.2867299265763754
365	-1.1954699641963462
366	-1.2272834895475029
367	-1.1777045051577621
368	-1.1578374954446917
369	-1.2770333640764777
370	-1.3232462534166336
371	-1.3223179349079475
372	-1.1649966288318392
373	-1.192519806583021
374	-1.220063750282521
375	-1.1402308809361126
376	-1.2619774546223104
377	-1.1502643635537932
378	-1.1632484292511707
379	-1.1885276062762347
380	-1.203077912181346
381	-1.414129954774385
382	-1.2344160794015526
383	-1.2142535691181275
384	-1.2553359701825733
385	-1.136440182335593
386	-1.2378846333088296
387	-1.0775747946629952
388	-1.2195785889725728
389	-1.1746667687862424
390	-1.1523992817465845
391	-1.1707300549914628
392	-1.2071654159547704
393	-1.2603012866803638
394	-1.1693378897658062
395	-1.2169942005827075
396	-1.1722760438209696
397	-1.2259762029358752
398	-1.0759537935136474
399	-1.1336277531335304
400	-1.1663779781367654
401	-1.180592022909143
402	-1.1047605100218885
403	-1.1077150536324847
404	-1.2102438014422632
405	-1.3164195777607581
406	-1.2199297978916641
407	-1.1341892905782003
408	-1.0698090792392319
409	-1.1501427611893726
410	-1.1886339691315027
411	-1.193807883792946
412	-1.1024107182667908
413	-1.2217384822936541
414	-1.2123220564017034
415	-1.257253621005986
416	-1.133670880523189
417	-1.1214550637016103
418	-1.2425743940836376
419	-1.166322232410439
420	-1.239621957177698
421	-1.0647941861573158
422	-1.2562702913355226
423	-1.1611032705969455
424	-1.1817051869914152
425	-1.2601492748006229
426	-1.1612490186829467
427	-1.1680588586449738
428	-1.1137782859608765
429	-1.109300697851213
430	-1.1810477397471935
431	-1.229698799183615
432	-0.9585502165241488
433	-1.2056072997895515
434	-1.2675253039237362
435	-1.1838198362315169
436	-1.103454436079775
437	-1.3228109607025724
